# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:46:42.730
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
5.969631,0.3380,-0.0370,-0.1590,0.38
5.969870,0.1720,-0.1850,-0.1980,0.32
5.986551,-1.3250,-0.6480,0.2700,1.50
5.986727,-1.2870,-0.5260,0.5200,1.48
6.005339,-0.2890,-0.1330,0.3030,0.44
6.025878,0.0110,0.4050,-0.1990,0.45
6.025996,0.6290,0.5290,-0.6050,1.02
6.051694,1.3100,0.5460,-0.5840,1.53
6.070904,0.7310,0.2310,0.3340,0.84
6.086769,-1.0280,-0.4680,0.3070,1.17
6.086876,-1.1150,-0.1500,-0.0660,1.13
6.107071,-0.2810,0.1260,-0.3780,0.49
6.107232,0.0410,-0.0070,-0.2850,0.29
6.130470,-0.0740,-0.0170,-0.2430,0.25
6.130616,-0.0880,-0.0580,-0.0200,0.11
6.147743,-0.0360,-0.0160,0.0840,0.09
6.147897,-0.1240,0.0350,0.1840,0.22
6.167913,-0.2890,0.0290,0.1550,0.33
6.168298,-0.2640,-0.0290,-0.1110,0.29
6.188169,0.0850,-0.0630,-0.2050,0.23
6.188290,0.2560,-0.0100,-0.0880,0.27
6.209015,0.2870,0.1420,0.0310,0.32
6.209203,0.0440,0.2360,0.0010,0.24
6.235761,-0.2980,0.2770,-0.1880,0.45
6.254837,-0.3380,0.0760,-0.4700,0.58
6.270155,-0.4980,-0.1150,-0.3010,0.59
6.270394,-0.8790,0.0560,-0.1790,0.90
